"X","listing_id","host_id","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","capped_price","capped_minimum_nights","afinnsentiment","bingsentiment","nrcsentiment","ave_sentiment"
14207,33728004,100833811,"Newtonbrook East",43.79194,-79.41463,"Entire home/apt",150,1,12,"2020-01-18",0.94,8,150,1,49,27,19,0.440535474005054
14208,33735429,159320253,"Trinity-Bellwoods",43.6504,-79.42274,"Entire home/apt",100,2,33,"2020-04-02",2.63,7,100,2,74,31,23,0.294952704909623
14209,33739125,240219368,"Mount Olive-Silverstone-Jamestown",43.73623,-79.58836,"Private room",39,1,6,"2019-08-31",0.5,3,39,1,30,14,16,0.516878700662182
14210,33739164,190170122,"Woodbine-Lumsden",43.69678,-79.30616,"Private room",99,3,6,"2020-02-09",0.54,7,99,3,47,22,16,0.310264519888486
14211,33739490,208018084,"L'Amoreaux",43.79947,-79.30021,"Private room",48,28,18,"2019-06-30",1.38,5,48,28,66,28,31,0.281370695903897
14212,33739653,214614385,"Pleasant View",43.77989,-79.32623,"Entire home/apt",219,2,2,"2019-08-05",0.2,4,219,2,9,7,10,0.369374755709022
14213,33739689,240219368,"Mount Olive-Silverstone-Jamestown",43.73569,-79.58767,"Private room",39,1,11,"2019-08-31",0.92,3,39,1,67,34,29,0.391196827199086
14214,33739799,211526817,"Waterfront Communities-The Island",43.6483,-79.39074,"Entire home/apt",119,14,39,"2019-10-29",3.14,43,119,14,158,70,62,0.358555911453949
14215,33743028,167034435,"Moss Park",43.6597,-79.37278,"Private room",150,1,128,"2020-04-20",9.8,22,150,1,581,294,262,0.428623481425005
14216,33743485,211526817,"Willowdale East",43.76197,-79.40862,"Entire home/apt",150,2,47,"2019-11-20",3.63,43,150,2,173,90,82,0.42876892860192
14217,33744331,14241704,"Roncesvalles",43.64531,-79.44231,"Entire home/apt",141,3,2,"2019-08-08",0.17,1,141,3,11,5,4,0.395608394383572
14218,33746192,6386296,"Dovercourt-Wallace Emerson-Junction",43.66186,-79.45329,"Private room",100,30,2,"2019-05-22",0.16,9,100,30,5,5,2,0.0588612770643345
14219,33746605,254385327,"Glenfield-Jane Heights",43.74035,-79.52032,"Private room",90,1,2,"2019-09-10",0.22,1,90,1,27,10,11,0.350526010321843
14220,33747622,249687559,"Waterfront Communities-The Island",43.63933,-79.39625,"Entire home/apt",299,1,54,"2020-01-30",4.14,1,350,1,180,89,69,0.36634240200294
14221,33747916,22868073,"South Parkdale",43.64077,-79.42376,"Entire home/apt",278,2,47,"2020-03-31",3.79,14,278,2,298,157,129,0.425549703087673
14222,33749154,66988088,"Yorkdale-Glen Park",43.70614,-79.46762,"Private room",65,1,6,"2020-04-06",0.49,2,65,1,34,18,18,0.411103458359148
14223,33750187,83990600,"Broadview North",43.68431,-79.35537,"Entire home/apt",70,1,26,"2020-04-04",1.99,1,70,1,133,64,57,0.46551287927247
14224,33750597,82449459,"Mount Pleasant East",43.71003,-79.38944,"Private room",61,2,12,"2019-09-01",0.96,1,61,2,88,40,31,0.529590292744389
14225,33751207,125625405,"Pleasant View",43.78559,-79.32977,"Entire home/apt",200,3,33,"2020-05-03",4.5,1,200,3,176,117,93,0.440236911877679
14227,33753092,254441011,"Rosedale-Moore Park",43.67256,-79.38467,"Entire home/apt",350,3,88,"2020-04-20",6.7,1,350,3,355,193,155,0.422609361903507
14228,33757579,66988088,"Yorkdale-Glen Park",43.70644,-79.46752,"Private room",48,1,15,"2020-01-31",1.28,2,48,1,84,41,39,0.349651008519903
14229,33762819,254424272,"The Beaches",43.67133,-79.29264,"Entire home/apt",79,2,32,"2020-02-17",2.44,1,79,2,184,92,82,0.391145602287369
14230,33765104,7051199,"Annex",43.66671,-79.40569,"Entire home/apt",385,1,44,"2020-04-12",3.46,2,350,1,222,110,105,0.35393972818097
14231,33769840,147244304,"Wexford/Maryvale",43.7549,-79.31384,"Entire home/apt",139,3,7,"2019-08-11",0.63,2,139,3,28,15,10,0.453692959261914
14232,33772248,6386296,"Dovercourt-Wallace Emerson-Junction",43.66469,-79.45373,"Private room",98,30,2,"2019-07-15",0.16,9,98,30,10,3,1,0.212546871948205
14233,33772577,6386296,"Dovercourt-Wallace Emerson-Junction",43.66155,-79.45226,"Private room",100,30,2,"2019-05-31",0.16,9,100,30,11,4,7,0.394154154601823
14234,33773269,47269274,"Dovercourt-Wallace Emerson-Junction",43.66131,-79.44992,"Entire home/apt",240,1,14,"2020-01-31",1.16,1,240,1,57,36,21,0.428876155032695
14236,33773750,248890676,"Waterfront Communities-The Island",43.64473,-79.38959,"Entire home/apt",150,3,31,"2020-03-02",2.42,1,150,3,263,130,154,0.381664575630114
14237,33774360,52170715,"Tam O'Shanter-Sullivan",43.77536,-79.31538,"Private room",31,1,71,"2020-04-29",5.84,6,31,1,197,104,81,0.403482515476179
14240,33776499,60562318,"Mount Pleasant West",43.70793,-79.39567,"Entire home/apt",280,2,13,"2020-02-23",1.1,3,280,2,82,47,40,0.378311737646668
14241,33777840,136672351,"Stonegate-Queensway",43.63005,-79.49095,"Entire home/apt",450,1,11,"2020-01-01",0.84,1,350,1,25,23,20,0.334112951965165
14242,33778813,184724401,"Moss Park",43.65321,-79.37111,"Entire home/apt",112,1,44,"2020-03-11",3.54,19,112,1,262,136,83,0.43882849213374
14243,33779483,136230400,"Englemount-Lawrence",43.71685,-79.44211,"Entire home/apt",90,1,20,"2020-01-20",1.6,2,90,1,93,42,40,0.477129254886645
14244,33780609,96360372,"L'Amoreaux",43.7904,-79.31147,"Private room",51,2,4,"2019-10-14",0.32,2,51,2,10,5,2,0.448913000024942
14246,33789669,10202618,"Waterfront Communities-The Island",43.63851,-79.39829,"Entire home/apt",79,1,15,"2020-03-08",1.15,118,79,1,62,29,23,0.443340825260781
14247,33796021,6790677,"North St.James Town",43.67038,-79.37946,"Entire home/apt",159,28,1,"2019-09-27",0.13,1,159,28,6,5,3,0.328028952418689
14248,33797277,1198630,"Waterfront Communities-The Island",43.64528,-79.39059,"Entire home/apt",650,1,27,"2019-12-04",2.19,17,350,1,119,66,63,0.350913045380269
14249,33797388,38459934,"Waterfront Communities-The Island",43.64855,-79.38949,"Entire home/apt",110,32,1,"2019-08-21",0.11,28,110,32,4,2,2,0.288834279082637
14251,33801180,242949719,"Annex",43.67084,-79.39307,"Entire home/apt",180,15,4,"2020-03-03",0.32,3,180,15,-5,0,9,0.051058555757482
14252,33802845,106641924,"Waterfront Communities-The Island",43.63904,-79.39903,"Entire home/apt",399,2,7,"2019-12-21",0.63,3,350,2,40,19,13,0.342311663380628
14253,33803608,234646536,"Waterfront Communities-The Island",43.65006,-79.38923,"Entire home/apt",169,1,30,"2020-03-11",2.39,1,169,1,98,50,48,0.427704161980823
14254,33806768,230185338,"Waterfront Communities-The Island",43.63953,-79.39684,"Entire home/apt",174,1,6,"2019-12-25",0.47,5,174,1,31,12,14,0.253191884275277
14255,33807627,224268660,"Islington-City Centre West",43.63927,-79.54894,"Private room",56,1,24,"2020-03-19",1.84,9,56,1,59,34,36,0.51232816272475
14257,33807668,255250497,"Church-Yonge Corridor",43.65936,-79.37981,"Entire home/apt",119,1,45,"2019-08-30",3.46,1,119,1,224,111,96,0.436958104470942
14258,33808080,102901292,"Willowdale East",43.7571,-79.40276,"Entire home/apt",350,3,1,"2019-05-27",0.09,18,350,3,1,2,2,0.32870818102094
14259,33808556,102901292,"Willowdale East",43.75841,-79.40356,"Entire home/apt",350,3,1,"2019-04-21",0.08,18,350,3,0,0,0,0.25
14260,33808686,145989662,"Bendale",43.77298,-79.25798,"Entire home/apt",110,30,3,"2019-05-16",0.24,1,110,30,18,6,6,0.302499549573943
14261,33809277,255268386,"Waterfront Communities-The Island",43.64339,-79.38031,"Entire home/apt",150,1,147,"2020-04-05",11.28,1,150,1,591,300,254,0.435626397746761
14262,33809285,255268379,"Willowdale East",43.77137,-79.41189,"Private room",45,1,14,"2020-05-01",1.58,5,45,1,38,29,31,0.370046819809792
14263,33812487,210886179,"Milliken",43.81802,-79.28961,"Private room",31,1,15,"2019-12-30",1.3,5,31,1,20,8,11,0.309685340294179
14264,33825431,81485262,"University",43.66443,-79.40185,"Private room",65,5,5,"2020-04-01",0.4,1,65,5,31,21,22,0.51524571122854
14265,33826167,7169101,"Playter Estates-Danforth",43.67925,-79.3502,"Entire home/apt",89,1,87,"2020-03-15",7.19,1,89,1,517,283,230,0.4475710560756
14266,33826839,253954932,"Waterfront Communities-The Island",43.64202,-79.38135,"Entire home/apt",193,15,64,"2020-03-22",4.9,4,193,15,249,119,93,0.409626507764982
14267,33828314,216560535,"Woodbine Corridor",43.6692,-79.3119,"Shared room",25,2,4,"2019-12-03",0.33,1,25,2,13,7,6,0.307915649192854
14268,33830744,181907216,"Waterfront Communities-The Island",43.64553,-79.39053,"Entire home/apt",112,1,2,"2020-02-29",0.62,2,112,1,9,5,8,0.516202526168631
14269,33837447,72198744,"Briar Hill-Belgravia",43.70188,-79.45144,"Entire home/apt",150,2,41,"2020-01-05",3.15,1,150,2,168,88,73,0.432435004540617
14270,33839648,129929768,"South Parkdale",43.63633,-79.43455,"Private room",55,1,1,"2019-05-17",0.08,1,55,1,-1,0,-1,0
14271,33841265,162021452,"Danforth East York",43.69043,-79.31661,"Private room",39,1,10,"2019-11-30",0.87,2,39,1,55,19,23,0.122998091254658
14272,33849207,2324488,"Annex",43.67341,-79.41496,"Entire home/apt",84,2,17,"2020-02-18",1.39,2,84,2,84,51,37,0.414275531727938
14273,33849607,255584252,"Rockcliffe-Smythe",43.67882,-79.48463,"Entire home/apt",70,2,50,"2020-03-15",3.97,1,70,2,260,132,89,0.443842293889522
14274,33850674,154106142,"Waterfront Communities-The Island",43.64283,-79.38128,"Entire home/apt",200,2,64,"2020-05-03",5,7,200,2,281,145,127,0.40414426229958
14275,33851198,33649161,"Islington-City Centre West",43.63173,-79.52102,"Private room",60,3,8,"2019-10-29",0.72,3,60,3,48,27,26,0.43719608702805
14276,33851393,255601789,"New Toronto",43.60513,-79.50611,"Entire home/apt",79,1,97,"2020-05-03",7.74,4,79,1,366,209,126,0.475089940763275
14277,33851450,154106142,"Waterfront Communities-The Island",43.64117,-79.38232,"Entire home/apt",250,21,96,"2020-03-07",7.46,7,250,21,487,233,211,0.426378371186198
14278,33852135,154106142,"Waterfront Communities-The Island",43.64219,-79.38204,"Entire home/apt",174,2,75,"2020-04-28",5.97,7,174,2,315,185,143,0.416095324575503
14279,33852495,154106142,"Waterfront Communities-The Island",43.6431,-79.38009,"Entire home/apt",200,2,47,"2020-03-27",3.81,7,200,2,239,115,86,0.430882259709861
14280,33853344,61460167,"Yonge-Eglinton",43.70831,-79.39901,"Private room",80,1,55,"2020-05-02",4.27,1,80,1,412,219,182,0.426743637553862
14282,33856728,255648479,"Maple Leaf",43.71598,-79.47936,"Entire home/apt",84,2,26,"2020-03-14",2.11,3,84,2,148,67,61,0.378503843250237
