id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36863991,Beautifully designed Queen West apt with parking,276953198,Ark,,Trinity-Bellwoods,43.64726,-79.40975,Entire home/apt,105,1,30,2020-04-01,3.24,1,121
36868209,UV-C Sterilized 1 Bed - View of High Park,275296819,Sara,,High Park North,43.65428,-79.466,Entire home/apt,77,1,1,2019-10-14,0.14,10,365
36868287,Family Home backing on to Humber River Oasis,4149948,Mary,,Lambton Baby Point,43.65885,-79.49909,Entire home/apt,299,3,2,2019-08-04,0.21,2,358
36869385,Private Room with free Parking,109194998,Julia,,Newtonbrook West,43.77956,-79.41818,Private room,70,1,3,2019-12-27,0.35,2,122
36869437,Elegant and bright basement in prime location!!!,78890375,Dewan,,Humber Summit,43.75691,-79.5734,Entire home/apt,69,3,22,2020-03-08,2.43,1,0
36869954,UV-C Sterilized 1 Bedroom - High Park!,275296819,Sara,,High Park North,43.65468,-79.4669,Entire home/apt,299,28,2,2020-03-31,0.21,10,365
36870992,Lovely 1 Bedroom + sofa bed - High Park,275296819,Sara,,High Park North,43.65363,-79.46688,Entire home/apt,75,1,4,2020-02-29,0.83,10,0
36872202,Cozy 1 Bedroom - High Park,275296819,Sara,,High Park North,43.65446,-79.46536,Entire home/apt,70,1,10,2020-01-01,1.10,10,365
36873127,Modern & Bright Condo w/ Lake View & Free Parking,277135310,Jessica,,Niagara,43.6359,-79.40567,Entire home/apt,79,2,23,2020-03-07,2.54,1,330
36876585,T231@3 bdr house yonge/sheppard free parking*.,277170950,Locals,,Lansing-Westgate,43.75824,-79.41091,Entire home/apt,299,1,7,2019-11-17,0.78,1,230
36877894,Centrally located Roncy apartment,708622,Troy,,High Park-Swansea,43.64024,-79.4479,Entire home/apt,75,1,0,,,4,0
36878280,Family home in Roncesvalles village with Parking,6935991,Spencer,,Roncesvalles,43.65314,-79.45002,Entire home/apt,125,2,3,2019-08-25,0.32,1,0
36878477,"Private room in luxury, Harbourfront condo unit",13862196,Sherry,,Waterfront Communities-The Island,43.64283,-79.37821,Private room,105,3,0,,,1,0
36878486,UV DISINFECTION Green Modern 1bd in Downtown.40Fl,10202618,Simply Comfort,,Waterfront Communities-The Island,43.64238,-79.3831,Entire home/apt,98,1,1,2019-09-09,0.12,118,343
36879409,Hazleton Lanes Beautiful 1BR + Loft + Den & PATIO,191179454,Spencer,,Annex,43.67496,-79.39373,Entire home/apt,139,1,82,2020-04-30,8.40,11,0
36879592,Suriya's happy home!,277193683,Suriya,,Woburn,43.76625,-79.22417,Entire home/apt,160,7,25,2020-03-20,2.87,1,135
36880510,"Super Clean, artsy and convenient apartment",41595261,Annie,,Church-Yonge Corridor,43.65519,-79.37497,Private room,51,28,6,2019-12-16,0.63,2,180
36882475,"Bright, 3-bedroom house in walkable Leslieville",1727561,Jason,,South Riverdale,43.66103,-79.33673,Entire home/apt,209,14,0,,,1,0
36883211,North York 3 Bedrooms House W/Parking Near Subway,58168772,Serena,,Newtonbrook West,43.78466,-79.43455,Entire home/apt,159,2,0,,,4,365
36885820,"Cozy room near Airport&subway,nice neighborhood",237418707,MiYa,,Islington-City Centre West,43.63475,-79.54439,Private room,41,1,55,2020-03-24,6.32,4,36
36899868,"2bed2bath condo, Lake CNtower view, great location",275161486,Hiba,,Mimico (includes Humber Bay Shores),43.62297,-79.48412,Entire home/apt,271,6,0,,,2,0
36905473,Large 1 bedroom condo in excellent location,5991731,Ellie,,Bay Street Corridor,43.6667,-79.38639,Entire home/apt,180,7,0,,,1,89
36906242,Midtown batchelor close to subway,106953050,Oleg,,Mount Pleasant West,43.69829,-79.38902,Entire home/apt,75,3,9,2020-03-09,0.94,1,0
36907843,Modern & Trendy Heritage Townhome in Leslieville,16970005,Luke,,South Riverdale,43.66772,-79.33351,Entire home/apt,500,2,1,2019-08-05,0.11,3,0
36907882,"Amazing Garden Oasis 3, Breakfast, No Cleaning Fee",47929276,Lorne,,St.Andrew-Windfields,43.75316,-79.40157,Private room,28,1,38,2020-05-06,4.03,8,335
36909183,Stylish Heritage Home in the Heart of Leslieville,16970005,Luke,,South Riverdale,43.66817,-79.33532,Entire home/apt,500,2,0,,,3,0
36910887,The GREEN Room in the trendy Ossington-Bloor area,172682372,Heather,,Dovercourt-Wallace Emerson-Junction,43.66406,-79.43006,Private room,46,3,11,2020-03-19,1.40,2,75
36912671,Superior Penthouse Hotel Style by Hilton Hotel,19509784,Kevin,,Bay Street Corridor,43.64972,-79.38129,Entire home/apt,250,1,0,,,29,214
36912990,West Toronto Five Bedroom estate for weekly rental,15583257,Mark,,Edenbridge-Humber Valley,43.67435,-79.5228,Entire home/apt,500,4,0,,,1,0
36913966,Stunning small bedroom,9660032,Karly,,Elms-Old Rexdale,43.72598,-79.558,Private room,35,15,5,2019-08-24,0.54,1,364
36915259,One bedroom for a man and share public places,277257023,Beata,,Lawrence Park North,43.72778,-79.40311,Private room,109,1,6,2020-03-17,0.63,3,0
36916172,Brand new lower-level studio in Toronto,277471208,Dmytro,,Princess-Rosethorn,43.66422,-79.54676,Entire home/apt,75,3,9,2020-05-03,0.95,1,180
